area_id,weight,volume,fat,sugar,saturate,protein,carb,salt,fibre,energy_fat,energy_sugar,energy_saturate,energy_protein,energy_fibre,energy_carb,energy_tot,number_reception_measured,number_y6_measured,prevalence_overweight_reception,prevalence_overweight_y6,prevalence_obese_reception,prevalence_obese_y6
E05000557,68.7927818502288,21.703000783284992,2.006163925306384,2.422631774167008,0.756310073739227,1.1478953473573212,4.317662270001526,0.12048053466705981,0.39970150296778345,18.05547532775608,9.690527096668031,6.806790663652006,4.591581389429285,0.7375421324006999,17.270649080006113,41.011321008181135,353,238,0.184135977,0.323529412,0.079320113,0.172268908
E05000558,65.79129531502417,20.625491959683337,2.03806168431411,2.51745236808616,0.7763131530310842,1.2112667242201904,4.477641783466296,0.12476754269410281,0.41052305544524037,18.34255515882636,10.06980947234464,6.986818377278295,4.845066896880763,0.765982728776966,17.910567133865182,42.22258900112248,359,283,0.203342618,0.303886926,0.064066852,0.130742049
E05000559,64.64098350808003,22.054835173306685,2.0246730458665163,2.6279417465591806,0.7789576211436301,1.1482963699710176,4.3059394545873975,0.12001334809322645,0.37599743657871965,18.222057412797266,10.511766986236722,7.010618590290743,4.59318547988407,0.6891953707770146,17.22375781834959,41.081538425694895,373,254,0.163538874,0.283464567,0.058981233,0.145669291
E05000560,58.351964524878014,21.92716622348348,2.3216196324458744,3.077939474058828,0.9317548787382064,1.1294541388007582,4.656532985109722,0.11297696618890463,0.3892448547024985,20.894576692014013,12.31175789623531,8.385793908639885,4.517816555203032,0.7156551481692407,18.626131940438892,45.04447002748886,266,295,0.146616541,0.288135593,0.071428571,0.125423729
E05000561,62.96086529309015,22.281989679841775,2.1354354706424483,2.592178686333755,0.7991594826661598,1.1717452023718322,4.597574435434986,0.13071352812416223,0.41213981941749245,19.218919235780433,10.368714745335021,7.192435343994462,4.686980809487329,0.7613965707257092,18.390297741739943,43.4841851421441,302,318,0.145695364,0.248427673,0.046357616,0.106918239
E05000562,69.83943689443059,24.107731611757064,2.1060581030147985,2.69334012480597,0.8335254464612719,1.1359210598084941,4.4607299386282095,0.12255160934984671,0.36360765165660236,18.954522927134438,10.773360499223879,7.501729018148326,4.5436842392339765,0.6698166208486402,17.84291975451284,42.33728668121304,522,475,0.250957854,0.412631579,0.114942529,0.265263158
E05000563,68.31119277717242,23.642921496424904,2.1765982723469603,2.735403725486919,0.834484904016009,1.1755970383461558,4.624028748173486,0.1223302349142845,0.3757756745722613,19.589384451123976,10.941614901947673,7.510364136141023,4.702388153384623,0.6910186316748561,18.496114992693943,43.883181545460815,341,404,0.184750733,0.341584158,0.085043988,0.202970297
E05000564,63.137337961274746,20.96589608506986,2.1394769963528097,2.6725386237015885,0.819703149700148,1.1709932253008284,4.394418466087567,0.13139829837231232,0.38123697593741446,19.25529296717632,10.690154494806354,7.377328347298402,4.6839729012033136,0.7060321822225796,17.577673864350267,42.54379463174855,441,281,0.229024943,0.330960854,0.090702948,0.206405694
E05000565,66.97739161129842,22.72060928915004,2.2457220037841106,2.7035790437717395,0.881072097505134,1.197343347031504,4.609710569264352,0.1264985466945534,0.38110000147755163,20.211498034059634,10.814316175086962,7.929648877543552,4.789373388126016,0.7045593979500923,18.438842277057407,44.49425881620259,402,322,0.199004975,0.332298137,0.094527363,0.201863354
E05000566,71.04938098196611,20.40570363563228,2.068620472224568,2.576916649326032,0.8115679324301635,1.1321363765392354,4.095574131963417,0.11713300632125921,0.37382629728393213,18.617584250020872,10.307666597304127,7.304111391869171,4.528545506156941,0.6935037515022969,16.38229652785367,40.66360346772525,279,192,0.186379928,0.291666667,0.082437276,0.182291667
E05000567,67.2372438594441,21.7471563001572,2.0419177166317586,2.3787445103363067,0.7830285064516338,1.2062231928027267,4.229540175772206,0.12287672762877289,0.3900658765989826,18.3772594496879,9.514978041345227,7.047256558061292,4.824892771210908,0.7235889140182022,16.918160703088823,41.18544562210537,348,239,0.209770115,0.317991632,0.083333333,0.171548117
